,B21_MB1-LCO1490,bath8-LCO1490_G04.ab1,bathy13-LCO1490,bathy14-LCO1490,lcl|LC456808_B_nipponica_OK,lcl|LC456809_B_nipponica_OK,lcl|LC456810_B_nipponica_OK,lcl|LC456811_B_nipponica_OK,lcl|LC456812_B_nipponica_OK,lcl|LC456813_B_nipponica_OK,lcl|LC456814_B_nipponica_OK,lcl|LC456815_B_nipponica_SCS,lcl|LC456816_B_nipponica_Sagami,lcl|LC456817_B_nipponica_Sagami,lcl|LC456818_B_nipponica_Sagami,lcl|LC456819_B_nipponica_Sagami,lcl|LC456821_B_nipponica_Sagami,lcl|LC456822_B_nipponica_OK,lcl|LC456824_B_nipponica_Sagami,lcl|LC456825_B_nipponica_OK,lcl|LC456826_B_nipponica_Sagami,lcl|LC456827_B_nipponica_OK,lcl|LC456828_B_nipponica_Sagami,lcl|LC456829_B_nipponica_Sagami,lcl|LC456830_B_nipponica_OK,lcl|LC456831_B_nipponica_OK,lcl|LC456832_B_nipponica_OK,lcl|LC456833_B_nipponica_OK,lcl|LC456834_B_nipponica_OK,lcl|LC456835_B_nipponica_OK,lcl|LC456836_B_nipponica_OK,lcl|LC456838_B_nipponica_OK,lcl|MG253685_B_becki_Manus,lcl|MG253686_B_lactea_Manus,lcl|MK341688_B_austrina_OK,lcl|MN180052_B_brevidenta_SCS,lcl|MN180053_B_brevidenta_SCS,lcl|MN631156_B_sp_Seamount,lcl|MN631157_B_sp_Seamount,lcl|MT309592_B_nipponica_OK,lcl|MT309593_B_nipponica_OK,lcl|MT772317_B_lactea_Manus,lcl|MW497306_B_sp_Mariana,lcl|MW497307_B_sp_Mariana
B21_MB1-LCO1490,0,36,23,23,495.4,416,562.4,516.5,778,451,778,622,588,588,588,588,588,287,588,369,588,451,588,588,778,287,778,287,373,287,778,778,20,23.5,386,640,640,1190,1190,195,677,622.5,1870,1519
bath8-LCO1490_G04.ab1,36,0,13,13,531.4,452,598.4,552.5,814,487,814,658,624,624,624,624,624,323,624,405,624,487,624,624,814,323,814,323,409,323,814,814,56,12.5,422,676,676,1154,1154,231,713,658.5,1834,1483
bathy13-LCO1490,23,13,0,0,518.4,439,585.4,539.5,801,474,801,645,611,611,611,611,611,310,611,392,611,474,611,611,801,310,801,310,396,310,801,801,43,0.5,409,663,663,1167,1167,218,700,645.5,1847,1496
bathy14-LCO1490,23,13,0,0,518.4,439,585.4,539.5,801,474,801,645,611,611,611,611,611,310,611,392,611,474,611,611,801,310,801,310,396,310,801,801,43,0.5,409,663,663,1167,1167,218,700,645.5,1847,1496
lcl|LC456808_B_nipponica_OK,495.4,531.4,518.4,518.4,0,79.4,67,21.1,282.6,44.4,282.6,126.6,92.6,92.6,92.6,92.6,92.6,208.4,92.6,126.4,92.6,44.4,92.6,92.6,282.6,208.4,282.6,208.4,122.4,208.4,282.6,282.6,475.4,518.9,109.4,144.6,144.6,1685.4,1685.4,300.4,181.6,127.1,2365.4,2014.4
lcl|LC456809_B_nipponica_OK,416,452,439,439,79.4,0,146.4,100.5,362,35,362,206,172,172,172,172,172,129,172,47,172,35,172,172,362,129,362,129,43,129,362,362,396,439.5,30,224,224,1606,1606,221,261,206.5,2286,1935
lcl|LC456810_B_nipponica_OK,562.4,598.4,585.4,585.4,67,146.4,0,45.9,215.6,111.4,215.6,59.6,25.6,25.6,25.6,25.6,25.6,275.4,25.6,193.4,25.6,111.4,25.6,25.6,215.6,275.4,215.6,275.4,189.4,275.4,215.6,215.6,542.4,585.9,176.4,77.6,77.6,1752.4,1752.4,367.4,114.6,60.1,2432.4,2081.4
lcl|LC456811_B_nipponica_OK,516.5,552.5,539.5,539.5,21.1,100.5,45.9,0,261.5,65.5,261.5,105.5,71.5,71.5,71.5,71.5,71.5,229.5,71.5,147.5,71.5,65.5,71.5,71.5,261.5,229.5,261.5,229.5,143.5,229.5,261.5,261.5,496.5,540,130.5,123.5,123.5,1706.5,1706.5,321.5,160.5,106,2386.5,2035.5
lcl|LC456812_B_nipponica_OK,778,814,801,801,282.6,362,215.6,261.5,0,327,0,156,190,190,190,190,190,491,190,409,190,327,190,190,0,491,0,491,405,491,0,0,758,801.5,392,138,138,1968,1968,583,101,155.5,2648,2297
lcl|LC456813_B_nipponica_OK,451,487,474,474,44.4,35,111.4,65.5,327,0,327,171,137,137,137,137,137,164,137,82,137,0,137,137,327,164,327,164,78,164,327,327,431,474.5,65,189,189,1641,1641,256,226,171.5,2321,1970
lcl|LC456814_B_nipponica_OK,778,814,801,801,282.6,362,215.6,261.5,0,327,0,156,190,190,190,190,190,491,190,409,190,327,190,190,0,491,0,491,405,491,0,0,758,801.5,392,138,138,1968,1968,583,101,155.5,2648,2297
lcl|LC456815_B_nipponica_SCS,622,658,645,645,126.6,206,59.6,105.5,156,171,156,0,34,34,34,34,34,335,34,253,34,171,34,34,156,335,156,335,249,335,156,156,602,645.5,236,18,18,1812,1812,427,55,0.5,2492,2141
lcl|LC456816_B_nipponica_Sagami,588,624,611,611,92.6,172,25.6,71.5,190,137,190,34,0,0,0,0,0,301,0,219,0,137,0,0,190,301,190,301,215,301,190,190,568,611.5,202,52,52,1778,1778,393,89,34.5,2458,2107
lcl|LC456817_B_nipponica_Sagami,588,624,611,611,92.6,172,25.6,71.5,190,137,190,34,0,0,0,0,0,301,0,219,0,137,0,0,190,301,190,301,215,301,190,190,568,611.5,202,52,52,1778,1778,393,89,34.5,2458,2107
lcl|LC456818_B_nipponica_Sagami,588,624,611,611,92.6,172,25.6,71.5,190,137,190,34,0,0,0,0,0,301,0,219,0,137,0,0,190,301,190,301,215,301,190,190,568,611.5,202,52,52,1778,1778,393,89,34.5,2458,2107
lcl|LC456819_B_nipponica_Sagami,588,624,611,611,92.6,172,25.6,71.5,190,137,190,34,0,0,0,0,0,301,0,219,0,137,0,0,190,301,190,301,215,301,190,190,568,611.5,202,52,52,1778,1778,393,89,34.5,2458,2107
lcl|LC456821_B_nipponica_Sagami,588,624,611,611,92.6,172,25.6,71.5,190,137,190,34,0,0,0,0,0,301,0,219,0,137,0,0,190,301,190,301,215,301,190,190,568,611.5,202,52,52,1778,1778,393,89,34.5,2458,2107
lcl|LC456822_B_nipponica_OK,287,323,310,310,208.4,129,275.4,229.5,491,164,491,335,301,301,301,301,301,0,301,82,301,164,301,301,491,0,491,0,86,0,491,491,267,310.5,99,353,353,1477,1477,92,390,335.5,2157,1806
lcl|LC456824_B_nipponica_Sagami,588,624,611,611,92.6,172,25.6,71.5,190,137,190,34,0,0,0,0,0,301,0,219,0,137,0,0,190,301,190,301,215,301,190,190,568,611.5,202,52,52,1778,1778,393,89,34.5,2458,2107
lcl|LC456825_B_nipponica_OK,369,405,392,392,126.4,47,193.4,147.5,409,82,409,253,219,219,219,219,219,82,219,0,219,82,219,219,409,82,409,82,4,82,409,409,349,392.5,17,271,271,1559,1559,174,308,253.5,2239,1888
lcl|LC456826_B_nipponica_Sagami,588,624,611,611,92.6,172,25.6,71.5,190,137,190,34,0,0,0,0,0,301,0,219,0,137,0,0,190,301,190,301,215,301,190,190,568,611.5,202,52,52,1778,1778,393,89,34.5,2458,2107
lcl|LC456827_B_nipponica_OK,451,487,474,474,44.4,35,111.4,65.5,327,0,327,171,137,137,137,137,137,164,137,82,137,0,137,137,327,164,327,164,78,164,327,327,431,474.5,65,189,189,1641,1641,256,226,171.5,2321,1970
lcl|LC456828_B_nipponica_Sagami,588,624,611,611,92.6,172,25.6,71.5,190,137,190,34,0,0,0,0,0,301,0,219,0,137,0,0,190,301,190,301,215,301,190,190,568,611.5,202,52,52,1778,1778,393,89,34.5,2458,2107
lcl|LC456829_B_nipponica_Sagami,588,624,611,611,92.6,172,25.6,71.5,190,137,190,34,0,0,0,0,0,301,0,219,0,137,0,0,190,301,190,301,215,301,190,190,568,611.5,202,52,52,1778,1778,393,89,34.5,2458,2107
